rep,n,d,p,nc,lc,sq
50000,2,1,0.0,0,0,0
50000,2,1,0.1,957,1914,19722
50000,2,1,0.01,13,26,1995
50000,2,1,0.02,47,94,4005
50000,2,1,0.03,82,164,5955
50000,2,1,0.04,140,280,8000
50000,2,1,0.05,252,504,9868
50000,2,1,0.060000000000000005,377,754,12098
50000,2,1,0.07,469,938,14149
50000,2,1,0.08,634,1268,16168
50000,2,1,0.09,769,1538,17798
50000,2,1,0.09999999999999999,970,1940,20226
50000,2,1,0.10999999999999999,1174,2348,21952
50000,2,1,0.11999999999999998,1452,2904,24132
50000,2,1,0.12999999999999998,1699,3398,26021
50000,2,1,0.13999999999999999,1957,3914,27967
50000,2,1,0.15,2202,4404,29798
50000,2,1,0.16,2428,4856,31773
50000,2,1,0.17,2724,5448,33824
50000,2,1,0.18000000000000002,3048,6096,35617
50000,2,1,0.19000000000000003,3513,7026,37973
50000,2,1,0.20000000000000004,3810,7620,39619
50000,2,1,0.21000000000000005,4287,8574,41749
50000,2,1,0.22000000000000006,4784,9568,44044
50000,2,1,0.23000000000000007,5153,10306,45987
50000,2,1,0.24000000000000007,5553,11106,47688
50000,2,1,0.25000000000000006,5896,11792,49709
50000,2,1,0.26000000000000006,6548,13096,52043
50000,2,1,0.2700000000000001,7054,14108,54149
50000,2,1,0.2800000000000001,7513,15026,56252
50000,2,1,0.2900000000000001,8036,16072,57847
50000,2,1,0.3000000000000001,8774,17548,60320
50000,2,1,0.3100000000000001,9040,18080,61696
50000,2,1,0.3200000000000001,9854,19708,64174
50000,2,1,0.3300000000000001,10352,20704,66049
50000,2,1,0.34000000000000014,10904,21808,68192
50000,2,1,0.35000000000000014,11544,23088,69968
50000,2,1,0.36000000000000015,12102,24204,72171
50000,2,1,0.37000000000000016,12778,25556,73995
50000,2,1,0.38000000000000017,13377,26754,75844
50000,2,1,0.3900000000000002,14080,28160,77806
50000,2,1,0.4000000000000002,14785,29570,80034
50000,2,1,0.4100000000000002,15442,30884,81999
50000,2,1,0.4200000000000002,16126,32252,84233
50000,2,1,0.4300000000000002,16753,33506,85788
50000,2,1,0.4400000000000002,17570,35140,88197
50000,2,1,0.45000000000000023,18171,36342,89899
50000,2,1,0.46000000000000024,19037,38074,92321
50000,2,1,0.47000000000000025,19699,39398,94062
50000,2,1,0.48000000000000026,20522,41044,96324
50000,2,1,0.49000000000000027,21161,42322,98092
50000,2,1,0.5000000000000002,21812,43624,99823
50000,2,1,0.5100000000000002,22601,45202,102080
50000,2,1,0.5200000000000002,23328,46656,103864
50000,2,1,0.5300000000000002,24143,48286,105970
50000,2,1,0.5400000000000003,24922,49844,108043
50000,2,1,0.5500000000000003,25629,51258,109664
50000,2,1,0.5600000000000003,26581,53162,112210
50000,2,1,0.5700000000000003,27014,54028,114071
50000,2,1,0.5800000000000003,28081,56162,116160
50000,2,1,0.5900000000000003,28945,57890,118349
50000,2,1,0.6000000000000003,29671,59342,120444
50000,2,1,0.6100000000000003,30344,60688,122083
50000,2,1,0.6200000000000003,31176,62352,124043
50000,2,1,0.6300000000000003,31749,63498,125576
50000,2,1,0.6400000000000003,32422,64844,128009
50000,2,1,0.6500000000000004,33432,66864,130272
50000,2,1,0.6600000000000004,34238,68476,132275
50000,2,1,0.6700000000000004,34809,69618,133974
50000,2,1,0.6800000000000004,35688,71376,136142
50000,2,1,0.6900000000000004,36096,72192,137696
50000,2,1,0.7000000000000004,36919,73838,140083
50000,2,1,0.7100000000000004,37653,75306,142336
50000,2,1,0.7200000000000004,38658,77316,144241
50000,2,1,0.7300000000000004,39089,78178,145995
50000,2,1,0.7400000000000004,39911,79822,148146
50000,2,1,0.7500000000000004,40441,80882,150085
50000,2,1,0.7600000000000005,41009,82018,151574
50000,2,1,0.7700000000000005,41703,83406,154209
50000,2,1,0.7800000000000005,42141,84282,155701
50000,2,1,0.7900000000000005,42881,85762,157830
50000,2,1,0.8000000000000005,43586,87172,160164
50000,2,1,0.8100000000000005,44022,88044,162094
50000,2,1,0.8200000000000005,44672,89344,164191
50000,2,1,0.8300000000000005,45088,90176,165645
50000,2,1,0.8400000000000005,45667,91334,167995
50000,2,1,0.8500000000000005,46204,92408,170015
50000,2,1,0.8600000000000005,46629,93258,171833
50000,2,1,0.8700000000000006,47144,94288,174164
50000,2,1,0.8800000000000006,47477,94954,176296
50000,2,1,0.8900000000000006,47848,95696,177808
50000,2,1,0.9000000000000006,48122,96244,179759
50000,2,1,0.9100000000000006,48505,97010,181978
50000,2,1,0.9200000000000006,48793,97586,183811
50000,2,1,0.9300000000000006,49119,98238,186188
50000,2,1,0.9400000000000006,49368,98736,188116
50000,2,1,0.9500000000000006,49510,99020,190049
50000,2,1,0.9600000000000006,49711,99422,192020
50000,2,1,0.9700000000000006,49816,99632,193811
50000,2,1,0.9800000000000006,49937,99874,195909
50000,2,1,0.9900000000000007,49981,99962,197956
50000,2,1,1.0000000000000007,50000,100000,200000
50000,2,1,1,50000,100000,200000
50000,2,2,0.0,0,0,0
50000,2,2,0.1,0,0,8027
50000,2,2,0.2,22,98,31926
50000,2,2,0.11,0,0,9625
50000,2,2,0.12,1,4,11609
50000,2,2,0.13,0,0,13618
50000,2,2,0.14,3,13,15784
50000,2,2,0.15000000000000002,1,4,18097
50000,2,2,0.16000000000000003,4,16,20345
50000,2,2,0.17000000000000004,8,34,23228
50000,2,2,0.18000000000000005,13,54,25947
50000,2,2,0.19000000000000006,17,73,29070
50000,2,2,0.20000000000000007,13,54,32004
50000,2,2,0.21000000000000008,21,89,35248
50000,2,2,0.22000000000000008,21,90,38648
50000,2,2,0.2300000000000001,31,131,42265
50000,2,2,0.2400000000000001,57,243,45878
50000,2,2,0.2500000000000001,83,360,49975
50000,2,2,0.2600000000000001,90,387,54087
50000,2,2,0.27000000000000013,93,403,58252
50000,2,2,0.28000000000000014,148,637,63014
50000,2,2,0.29000000000000015,166,717,67303
50000,2,2,0.30000000000000016,225,976,72210
50000,2,2,0.31000000000000016,259,1131,76204
50000,2,2,0.3200000000000002,318,1353,81998
50000,2,2,0.3300000000000002,410,1771,86548
50000,2,2,0.3400000000000002,450,1962,92051
50000,2,2,0.3500000000000002,500,2177,97941
50000,2,2,0.3600000000000002,602,2627,103060
50000,2,2,0.3700000000000002,751,3283,109352
50000,2,2,0.3800000000000002,894,3933,115320
